tract2010,white,medhinc,count,mean,median
80202,0.889651239,87136,591,0.001264367,0.001287318
838300,0.294297963,46339,184,0.00106933,0.000945249
81900,0.406457752,97500,202,0.00096763,0.001117008
81800,0.842266262,93024,2174,0.001076365,0.001177096
81000,0.751656532,49429,445,0.001161383,0.0012429
81100,0.745329678,54871,397,0.001194764,0.001271576
241600,0.709232092,65058,218,0.001365434,0.001358179
242000,0.582475364,52242,290,0.001393807,0.001353042
241200,0.715801895,89183,127,0.001463467,0.001390326
241400,0.805005431,84479,403,0.00131359,0.001337625
241300,0.775444269,97596,167,0.001264991,0.00129053
241500,0.783426166,86903,328,0.001314822,0.001331161
242300,0.864814818,72042,296,0.001308728,0.001302242
242400,0.900144696,66190,147,0.001313683,0.001329102
242200,0.786350965,79858,436,0.001288181,0.001310593
242100,0.754111826,90670,488,0.001329364,0.001305458
242900,0.804191589,47022,136,0.001383156,0.001339641
243000,0.720961869,66755,222,0.001377818,0.001376076
243100,0.622658312,68446,200,0.001360422,0.001348565
243200,0.637327194,89048,212,0.001337754,0.001386109
280400,0.087847732,24531,18,0.001585172,0.001477445
243300,0.767393112,66417,224,0.001382981,0.001393269
243400,0.616127968,63902,239,0.001364886,0.001328166
243500,0.727613211,96023,401,0.00123616,0.001272242
833000,0.763367057,111181,676,0.001021337,0.001146401
81700,0.683107674,90136,630,0.001137565,0.001206926
81600,0.792947829,86786,640,0.001187399,0.001248713
280100,0.768678188,99583,1082,0.00092935,0.001103082
839100,0.629195392,73425,642,0.001022847,0.001063185
81500,0.775976241,93938,1525,0.001164467,0.001245055
81403,0.703804791,88523,1018,0.001163109,0.001237988
81401,0.760421216,76699,290,0.001253885,0.001287511
81402,0.713410318,101640,1119,0.001124484,0.001232324
320100,0.690910757,91250,1706,0.001054321,0.001179092
320400,0.705718815,89167,369,0.000919662,0.000957796
320600,0.618656039,65575,604,0.001052775,0.001154075
281900,0.555532634,92321,851,0.001046935,0.001130552
841900,0.534635127,88226,489,0.00119403,0.001243673
839000,0.682396412,73423,826,0.001196422,0.001238868
833100,0.689050019,104930,1607,0.001035524,0.001143902
832900,0.665009022,39300,79,0.001383252,0.001383535
283200,0.447115391,49609,96,0.001261919,0.001278854
283100,0.359970391,39180,41,0.001417227,0.001452712
833300,0.59789288,56058,87,0.001419248,0.001413923
838000,0.177274495,21979,85,0.001482587,0.001422932
280900,0.060509555,13516,18,0.001279751,0.001202331
838100,0.240513712,28587,72,0.00102267,0.001049615
282800,0.507392049,61250,41,0.001709628,0.001633578
841200,0.444697827,37363,36,0.001722645,0.001686481
310900,0.429435879,38081,40,0.001809303,0.001743225
310800,0.446855634,39635,32,0.001586323,0.001342019
283800,0.331344903,50781,218,0.000826561,0.0005905
310600,0.459270626,29778,38,0.001427395,0.001366973
310700,0.475768328,29236,18,0.001182907,0.000882215
310300,0.4890984,49676,48,0.001643069,0.001564323
310500,0.41882354,30139,14,0.001663826,0.001748396
310400,0.501501501,39792,32,0.001508324,0.001330981
330200,0.434051484,74519,381,0.001218805,0.0012945
310200,0.585329354,50500,33,0.001218823,0.001283439
843200,0.498920858,34881,34,0.001598149,0.001593462
841100,0.055279847,22000,198,0.001308544,0.001368979
330100,0.544368088,71563,3472,0.000986728,0.001094603
841000,0.2508834,32167,89,0.001346837,0.001493955
839200,0.105697446,44665,98,0.001367279,0.001255134
840100,0.301873922,31090,58,0.001502499,0.001480515
840200,0.278443128,58415,65,0.00147594,0.001548057
600400,0.34284246,41652,73,0.00160796,0.001500324
340300,0.21164614,23056,26,0.001481808,0.001457762
340400,0.17368421,31569,37,0.001324255,0.001359486
600600,0.448867798,34479,63,0.001530532,0.001521846
600700,0.427897841,34878,69,0.001494644,0.001412375
841300,0.533945799,32012,52,0.001624592,0.001612483
840400,0.381539375,30847,62,0.00141265,0.001384508
590500,0.482057422,52625,53,0.001430599,0.001396739
590600,0.539562285,44383,62,0.001586058,0.001470153
590700,0.588387072,40938,48,0.001627062,0.001628781
600900,0.461205721,38214,72,0.001515658,0.001339106
839700,0.564031422,40000,208,0.001291836,0.001415123
839900,0.677205861,63529,149,0.001425116,0.001483489
839800,0.550549448,50833,63,0.001644252,0.001600194
840000,0.532467544,60863,106,0.001462166,0.001458931
340500,0.500647664,17167,22,0.001595585,0.001599505
351500,0.141176477,30652,30,0.00124118,0.001298414
842000,0.385932952,59500,44,0.001324914,0.001450187
839500,0.110679612,21292,44,0.001407378,0.001252816
351000,0.044689316,44728,28,0.00143264,0.001537859
839600,0.046106558,28686,38,0.001478762,0.001426978
351100,0.009693878,13178,2,0.001491317,0.001491317
836500,0.018048128,23182,13,0.001551974,0.001512333
580501,0.491612405,43274,65,0.00184188,0.001814632
580502,0.462142467,45712,71,0.001910576,0.00174792
580700,0.442398578,36554,69,0.00181093,0.001736
580600,0.491231233,39542,60,0.001852709,0.00180955
842800,0.485729516,36620,77,0.001798429,0.001685194
570100,0.556881487,52115,37,0.001672947,0.001680392
580400,0.427945763,35663,78,0.001640115,0.001619404
560100,0.516632736,31354,21,0.001488119,0.001417156
570200,0.604220271,46477,54,0.001653759,0.001518756
560200,0.07553748,47917,33,0.001630491,0.001427731
560900,0.880424082,74098,248,0.001373807,0.00132443
560800,0.823507667,62731,216,0.001436388,0.001438801
560300,0.665202379,55200,141,0.001529053,0.001532437
560700,0.762629151,44286,112,0.001518745,0.001533167
835200,0.681553423,46452,57,0.00158051,0.001490778
570300,0.525506854,41947,166,0.001658249,0.001627556
560400,0.645118713,64904,43,0.001506346,0.001524882
570500,0.598700225,40456,54,0.001686636,0.001619632
620200,0.595141709,43854,89,0.001608919,0.001597704
570400,0.518885434,43839,35,0.001751489,0.001621778
620100,0.515737951,49659,108,0.001609997,0.00161827
630300,0.425104141,40750,78,0.001663182,0.001625051
630200,0.446918696,30729,23,0.001765495,0.001846765
630400,0.472539872,32886,97,0.001846026,0.001649381
630500,0.487115026,39844,54,0.001871003,0.001802242
630800,0.45673281,34300,67,0.001932159,0.001918348
835100,0.395418137,38516,44,0.001886981,0.00174733
660302,0.326035827,38859,55,0.00190044,0.001919
660301,0.216246501,28083,19,0.001993675,0.001902324
835000,0.154205605,28991,68,0.001681138,0.001639168
620400,0.580800295,52292,111,0.001736799,0.001786484
630900,0.476226002,38967,73,0.0015981,0.00147023
650100,0.557101309,41332,98,0.00183333,0.001719105
660400,0.447650999,35259,88,0.001690752,0.001549901
620300,0.605875909,42431,232,0.001718653,0.001666078
640100,0.639966965,36689,35,0.00153509,0.001484649
650200,0.604918003,53171,183,0.001626792,0.001591882
561100,0.824486792,77222,238,0.001458674,0.001437171
640300,0.782144487,55952,247,0.001616583,0.001590216
561000,0.884130955,62500,255,0.001435337,0.001378189
640400,0.846394956,66042,159,0.001529618,0.001518622
640500,0.817817271,61600,175,0.001527085,0.001465758
640600,0.774028659,45391,157,0.001619235,0.0015925
640700,0.745563984,59162,113,0.001722528,0.001630361
640800,0.549533784,52348,63,0.001752762,0.001665032
650301,0.627385736,56339,211,0.001611244,0.001530437
650500,0.546482682,44915,191,0.001639667,0.001553333
650302,0.528314888,49705,99,0.001650435,0.001581762
660500,0.441633552,39750,86,0.001641688,0.001470413
650400,0.484799057,44679,223,0.0017552,0.001695407
660600,0.174009159,33787,63,0.001689221,0.001599333
660800,0.142881498,32289,68,0.001770715,0.001704795
660900,0.076086953,31136,43,0.0018052,0.001860364
661100,0.304646909,45067,189,0.001568199,0.001500074
661000,0.046617597,35234,89,0.001659071,0.001541176
